0.957584 0.052582 0.101425 0.049553 0.921640 0.000000 1.000000 (1 , 1)  Correct
0.694556 0.919492 0.951247 0.836993 0.031450 0.000000 1.000000 (0 , 1)  Wrong 
0.858745 0.228256 0.631472 0.119352 0.763031 0.000000 1.000000 (1 , 1)  Correct
0.929306 0.661632 0.734237 0.495489 0.615694 0.000000 1.000000 (1 , 1)  Correct
0.796561 0.777763 0.468354 0.919532 0.538134 1.000000 0.000000 (0 , 0)  Correct
0.614936 0.186594 0.209503 0.546878 0.801941 1.000000 0.000000 (0 , 0)  Correct
0.293866 0.200810 0.884644 0.757893 0.810762 1.000000 0.000000 (0 , 0)  Correct
0.019002 0.558536 0.398364 0.464013 0.087949 0.000000 1.000000 (1 , 1)  Correct
0.500196 0.914071 0.918582 0.026911 0.600465 0.000000 1.000000 (1 , 1)  Correct
0.615057 0.188363 0.916076 0.963341 0.615753 1.000000 0.000000 (0 , 0)  Correct
0.569912 0.556619 0.174874 0.525190 0.794228 1.000000 0.000000 (1 , 0)  Wrong 
0.221554 0.756400 0.547726 0.549586 0.568434 0.000000 1.000000 (1 , 1)  Correct
0.803781 0.054504 0.567576 0.180329 0.659308 0.000000 1.000000 (0 , 1)  Wrong 
0.308445 0.509486 0.533088 0.732063 0.948729 1.000000 0.000000 (0 , 0)  Correct
0.382493 0.716894 0.634270 0.626972 0.625191 0.000000 1.000000 (1 , 1)  Correct
0.389494 0.538620 0.300536 0.301373 0.452625 0.000000 1.000000 (1 , 1)  Correct
0.224296 0.218549 0.024215 0.198933 0.978693 0.000000 1.000000 (1 , 1)  Correct
0.491151 0.568976 0.706011 0.314945 0.168429 0.000000 1.000000 (1 , 1)  Correct
0.010607 0.038879 0.151868 0.778532 0.205910 1.000000 0.000000 (0 , 0)  Correct
0.554505 0.538635 0.327987 0.257561 0.212008 0.000000 1.000000 (1 , 1)  Correct
0.616973 0.985070 0.815057 0.219512 0.399786 0.000000 1.000000 (1 , 1)  Correct
0.985874 0.391159 0.980692 0.334986 0.743344 1.000000 0.000000 (1 , 0)  Wrong 
0.515920 0.847619 0.170233 0.405697 0.334878 0.000000 1.000000 (1 , 1)  Correct
0.711582 0.096972 0.676521 0.460727 0.311406 1.000000 0.000000 (0 , 0)  Correct
0.575166 0.178411 0.482191 0.037269 0.884401 0.000000 1.000000 (1 , 1)  Correct
0.604769 0.904114 0.088824 0.017385 0.020941 0.000000 1.000000 (1 , 1)  Correct
0.271675 0.115703 0.383279 0.939895 0.128894 1.000000 0.000000 (0 , 0)  Correct
0.541848 0.832945 0.527875 0.646075 0.890037 0.000000 1.000000 (1 , 1)  Correct
0.334096 0.725373 0.727908 0.800853 0.035708 1.000000 0.000000 (0 , 0)  Correct
0.865008 0.890869 0.223892 0.057063 0.024439 0.000000 1.000000 (1 , 1)  Correct
0.041248 0.686464 0.732007 0.363648 0.914546 0.000000 1.000000 (1 , 1)  Correct
0.864313 0.138321 0.354780 0.085154 0.651126 0.000000 1.000000 (1 , 1)  Correct
0.134987 0.850910 0.820471 0.801041 0.829814 1.000000 0.000000 (0 , 0)  Correct
0.035768 0.830113 0.697247 0.315983 0.897579 0.000000 1.000000 (1 , 1)  Correct
0.347105 0.335652 0.941080 0.730471 0.875448 1.000000 0.000000 (0 , 0)  Correct
0.648468 0.866820 0.347190 0.298693 0.992291 0.000000 1.000000 (1 , 1)  Correct
0.290317 0.494437 0.702931 0.123218 0.380111 0.000000 1.000000 (1 , 1)  Correct
0.906972 0.867833 0.971768 0.354895 0.876355 0.000000 1.000000 (1 , 1)  Correct
0.455272 0.987925 0.924225 0.283399 0.118235 0.000000 1.000000 (1 , 1)  Correct
0.408397 0.341148 0.966282 0.928567 0.806402 1.000000 0.000000 (0 , 0)  Correct
0.921747 0.338838 0.630042 0.493827 0.817404 0.000000 1.000000 (0 , 1)  Wrong 
0.592607 0.011762 0.691521 0.076639 0.673909 0.000000 1.000000 (1 , 1)  Correct
0.899318 0.336787 0.021423 0.104211 0.200432 0.000000 1.000000 (1 , 1)  Correct
0.576578 0.815738 0.573484 0.896330 0.761279 1.000000 0.000000 (0 , 0)  Correct
0.181848 0.461328 0.442887 0.941503 0.511113 1.000000 0.000000 (0 , 0)  Correct
0.204699 0.410341 0.105586 0.449252 0.008161 1.000000 0.000000 (0 , 0)  Correct
0.440320 0.997458 0.762030 0.329789 0.547082 0.000000 1.000000 (1 , 1)  Correct
0.467826 0.500310 0.890413 0.134550 0.660066 0.000000 1.000000 (1 , 1)  Correct
0.125207 0.337813 0.257334 0.287980 0.145032 0.000000 1.000000 (1 , 1)  Correct
0.336654 0.807887 0.669268 0.871285 0.937783 1.000000 0.000000 (0 , 0)  Correct
0.474544 0.474423 0.492355 0.065907 0.391399 0.000000 1.000000 (1 , 1)  Correct
0.721099 0.646537 0.731255 0.352792 0.641289 0.000000 1.000000 (1 , 1)  Correct
0.547995 0.881193 0.780379 0.102296 0.913227 0.000000 1.000000 (1 , 1)  Correct
0.808549 0.151578 0.219891 0.585200 0.545205 1.000000 0.000000 (0 , 0)  Correct
0.790714 0.417861 0.553968 0.574585 0.157358 1.000000 0.000000 (0 , 0)  Correct
0.565154 0.549467 0.051041 0.739922 0.915048 1.000000 0.000000 (0 , 0)  Correct
0.310344 0.073670 0.934268 0.362309 0.705257 1.000000 0.000000 (0 , 0)  Correct
0.097422 0.044821 0.934332 0.109353 0.794342 0.000000 1.000000 (1 , 1)  Correct
0.742922 0.987307 0.445423 0.754044 0.982359 0.000000 1.000000 (1 , 1)  Correct
0.486837 0.556619 0.351599 0.301044 0.634123 0.000000 1.000000 (1 , 1)  Correct
0.301699 0.021342 0.638328 0.403507 0.286096 1.000000 0.000000 (0 , 0)  Correct
0.016299 0.949419 0.128568 0.887792 0.881365 1.000000 0.000000 (0 , 0)  Correct
0.654688 0.979202 0.746812 0.352838 0.520776 0.000000 1.000000 (1 , 1)  Correct
0.395869 0.350230 0.504915 0.254485 0.410187 1.000000 0.000000 (1 , 0)  Wrong 
0.835720 0.557066 0.591826 0.635836 0.302010 1.000000 0.000000 (0 , 0)  Correct
0.112320 0.179965 0.053227 0.251834 0.350018 0.000000 1.000000 (1 , 1)  Correct
0.073158 0.855475 0.017502 0.091121 0.661717 0.000000 1.000000 (1 , 1)  Correct
0.676603 0.062599 0.385149 0.604072 0.834393 1.000000 0.000000 (0 , 0)  Correct
0.390453 0.903232 0.992521 0.931319 0.131466 1.000000 0.000000 (0 , 0)  Correct
0.614979 0.274955 0.763212 0.397168 0.324665 1.000000 0.000000 (0 , 0)  Correct
0.070826 0.117275 0.664022 0.078308 0.462137 0.000000 1.000000 (1 , 1)  Correct
0.965584 0.452248 0.980868 0.572327 0.139212 1.000000 0.000000 (0 , 0)  Correct
0.768889 0.527678 0.298051 0.995192 0.355617 1.000000 0.000000 (0 , 0)  Correct
0.284198 0.897064 0.165706 0.306658 0.343807 0.000000 1.000000 (1 , 1)  Correct
0.683361 0.647290 0.537654 0.564893 0.055245 0.000000 1.000000 (0 , 1)  Wrong 
0.654331 0.563089 0.662351 0.874453 0.584597 1.000000 0.000000 (0 , 0)  Correct
0.014020 0.631877 0.533055 0.491267 0.163785 1.000000 0.000000 (1 , 0)  Wrong 
0.527186 0.738904 0.190637 0.081566 0.327224 0.000000 1.000000 (1 , 1)  Correct
0.381010 0.857230 0.855184 0.500721 0.541336 0.000000 1.000000 (1 , 1)  Correct
0.379176 0.654535 0.740939 0.072624 0.250314 0.000000 1.000000 (1 , 1)  Correct
0.431852 0.240313 0.701032 0.540153 0.068584 1.000000 0.000000 (0 , 0)  Correct
0.768016 0.665199 0.827410 0.156314 0.989038 0.000000 1.000000 (1 , 1)  Correct
0.567272 0.953627 0.309070 0.751074 0.663320 1.000000 0.000000 (1 , 0)  Wrong 
0.886041 0.046655 0.753742 0.410239 0.310404 1.000000 0.000000 (0 , 0)  Correct
